nc6_threshold,nc10_threshold,uni6_threshold,uni10_threshold,accuracy
8,18,0.5,0.4,0.45342312008978675
8,18,0.5,0.45,0.45342312008978675
8,18,0.5,0.5,0.45342312008978675
8,18,0.5,0.6,0.45342312008978675
8,18,0.5,0.55,0.45286195286195285
8,20,0.3,0.6,0.4483726150392817
8,20,0.4,0.6,0.4483726150392817
8,20,0.45,0.6,0.4483726150392817
8,20,0.35,0.6,0.4483726150392817
7,24,0.5,0.45,0.44725028058361394
8,20,0.35,0.5,0.44725028058361394
7,24,0.5,0.5,0.44725028058361394
7,24,0.5,0.6,0.44725028058361394
7,24,0.5,0.4,0.44725028058361394
8,20,0.35,0.55,0.44725028058361394
7,24,0.5,0.55,0.44725028058361394
8,20,0.3,0.45,0.44725028058361394
8,20,0.35,0.4,0.44725028058361394
8,20,0.4,0.45,0.44725028058361394
8,20,0.35,0.45,0.44725028058361394
8,20,0.3,0.4,0.44725028058361394
8,20,0.3,0.5,0.44725028058361394
8,20,0.3,0.55,0.44725028058361394
8,20,0.45,0.55,0.44725028058361394
8,20,0.4,0.4,0.44725028058361394
8,20,0.4,0.5,0.44725028058361394
8,20,0.45,0.5,0.44725028058361394
8,20,0.4,0.55,0.44725028058361394
8,20,0.45,0.45,0.44725028058361394
8,20,0.45,0.4,0.44725028058361394
8,20,0.5,0.6,0.44668911335578004
8,20,0.5,0.5,0.44556677890011226
8,20,0.5,0.45,0.44556677890011226
8,20,0.5,0.55,0.44556677890011226
8,20,0.5,0.4,0.44556677890011226
8,22,0.4,0.6,0.4332210998877666
8,22,0.35,0.6,0.4332210998877666
8,22,0.45,0.6,0.4332210998877666
8,22,0.3,0.6,0.4332210998877666
8,22,0.45,0.45,0.43265993265993263
8,22,0.4,0.4,0.43265993265993263
8,22,0.45,0.4,0.43265993265993263
8,22,0.3,0.4,0.43265993265993263
8,22,0.3,0.5,0.43265993265993263
8,22,0.35,0.4,0.43265993265993263
8,22,0.35,0.5,0.43265993265993263
8,22,0.35,0.45,0.43265993265993263
8,22,0.3,0.45,0.43265993265993263
8,22,0.4,0.55,0.43265993265993263
8,22,0.4,0.45,0.43265993265993263
8,22,0.4,0.5,0.43265993265993263
8,22,0.35,0.55,0.43265993265993263
8,22,0.45,0.5,0.43265993265993263
8,22,0.45,0.55,0.43265993265993263
8,22,0.3,0.55,0.43265993265993263
8,22,0.5,0.6,0.43209876543209874
8,22,0.5,0.4,0.43153759820426485
8,22,0.5,0.45,0.43153759820426485
